tarefa,input,tecnica,resposta,tokens,tempo_ms,acuracia,temperatura
classificacao_sentimento,"Mixuruca, mas pelo valor até que tá ok.",few_shot,NEGATIVO,3,1362.927463,0.0,0.5
classificacao_sentimento,"Mixuruca, mas pelo valor até que tá ok.",chain_of_thought,NEGATIVO,3,1109.018524,0.0,0.5
classificacao_sentimento,"Mixuruca, mas pelo valor até que tá ok.",role_prompting,NEGATIVO,3,1288.480293,0.0,0.5
classificacao_sentimento,"Nada de outro mundo, pelo preço está bom.",zero_shot,NEGATIVO,3,869.19349,0.0,0.5
classificacao_sentimento,"Nada de outro mundo, pelo preço está bom.",few_shot,NEGATIVO,3,1219.896955,0.0,0.5
classificacao_sentimento,"Nada de outro mundo, pelo preço está bom.",chain_of_thought,NEGATIVO,3,1075.122092,0.0,0.5
classificacao_sentimento,"Nada de outro mundo, pelo preço está bom.",role_prompting,NEGATIVO,3,1189.796271,0.0,0.5
extracao,"recentemente comprei o Notebook Positivo Vision, nas primeiras semanas ele tinha um desempenho consideravel, mas dois meses após a compra ele veio a apresentar falhas no desempenho",zero_shot,"{
  ""produto"": ""Notebook Positivo Vision"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""falhas no desempenho""
}",33,4250.815208,1.0,0.5
extracao,"recentemente comprei o Notebook Positivo Vision, nas primeiras semanas ele tinha um desempenho consideravel, mas dois meses após a compra ele veio a apresentar falhas no desempenho",few_shot,"{
  ""produto"": ""Notebook Positivo Vision"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""falhas no desempenho""
}",33,5170.91296,1.0,0.5
extracao,"recentemente comprei o Notebook Positivo Vision, nas primeiras semanas ele tinha um desempenho consideravel, mas dois meses após a compra ele veio a apresentar falhas no desempenho",chain_of_thought,"{ ""produto"": ""Notebook Positivo Vision"", ""periodo"": ""POSTERIOR"", ""problema"": ""falhas no desempenho"" }",30,8874.977154,1.0,0.5
extracao,"recentemente comprei o Notebook Positivo Vision, nas primeiras semanas ele tinha um desempenho consideravel, mas dois meses após a compra ele veio a apresentar falhas no desempenho",role_prompting,"{ ""produto"": ""Notebook Positivo Vision"", ""periodo"": ""POSTERIOR"", ""problema"": ""Falhas no desempenho"" }",30,8644.838644,1.0,0.5
extracao,minha TV veio com problemas na imagem,zero_shot,"{""produto"": ""minha TV"", ""periodo"": ""INICIAL"", ""problema"": ""problemas na imagem""}",26,3437.242473,0.6666666666666666,0.5
extracao,minha TV veio com problemas na imagem,few_shot,"{ ""produto"": ""TV"", ""periodo"": ""INICIAL"", ""problema"": ""problemas na imagem"" }",26,4712.277152,1.0,0.5
extracao,minha TV veio com problemas na imagem,chain_of_thought,"{ ""produto"": ""minha TV"", ""periodo"": ""POSTERIOR"", ""problema"": ""na imagem"" }",27,4470.152151,0.0,0.5
extracao,minha TV veio com problemas na imagem,role_prompting,"{
  ""produto"": ""TV"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""Problemas na imagem""
}",30,4555.99432,0.6666666666666666,0.5
extracao,"meu headset veio sem som, quero a devolução",zero_shot,"{
  ""produto"": ""MyFi Headset"",
  ""periodo"": ""INICIAL"",
  ""problema"": ""sem som""
}",30,3846.267248,0.6666666666666666,0.5
extracao,"meu headset veio sem som, quero a devolução",few_shot,"{ ""produto"": ""headset"", ""periodo"": ""POSTERIOR"", ""problema"": ""sem som"" }",26,4322.443525,0.6666666666666666,0.5
extracao,"meu headset veio sem som, quero a devolução",chain_of_thought,"{""produto"": ""headset"", ""periodo"": ""POSTERIOR"", ""problema"": ""sem som""}",24,3526.231619,0.6666666666666666,0.5
extracao,"meu headset veio sem som, quero a devolução",role_prompting,"{
  ""produto"": ""Headset"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""Sem som""
}",29,4342.412682,0.6666666666666666,0.5
extracao,"Sobre o celular,ele é ótimo. Muito bom mesmo,a bateria dura,a câmera é boa,tem um bom processamento. Mas o problema é veio sem fone de ouvido.",zero_shot,"{
  ""produto"": ""celular"",
  ""periodo"": ""INICIAL"",
  ""problema"": ""não tem fone de ouvido""
}",32,4108.032195,0.6666666666666666,0.5
extracao,"Sobre o celular,ele é ótimo. Muito bom mesmo,a bateria dura,a câmera é boa,tem um bom processamento. Mas o problema é veio sem fone de ouvido.",few_shot,"{ ""produto"": ""celular"", ""periodo"": ""INICIAL"", ""problema"": ""sem fone de ouvido"" }",28,4781.841198,1.0,0.5
extracao,"Sobre o celular,ele é ótimo. Muito bom mesmo,a bateria dura,a câmera é boa,tem um bom processamento. Mas o problema é veio sem fone de ouvido.",chain_of_thought,"{
  ""produto"": ""celular"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""vem sem fone de ouvido""
}",33,4542.63247,0.3333333333333333,0.5
extracao,"Sobre o celular,ele é ótimo. Muito bom mesmo,a bateria dura,a câmera é boa,tem um bom processamento. Mas o problema é veio sem fone de ouvido.",role_prompting,"{
  ""produto"": ""celular"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""falha na comunicação entre o celular e o fone de ouvido""
}",40,5370.015601,0.3333333333333333,0.5
extracao,"Estava tudo ok, porém agora o celular não está ligando.",zero_shot,"{
  ""produto"": ""Celular"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""O celular não está ligando""
}",33,3980.623538,0.6666666666666666,0.5
extracao,"Estava tudo ok, porém agora o celular não está ligando.",few_shot,"{ ""produto"": ""celular"", ""periodo"": ""POSTERIOR"", ""problema"": ""celular não está ligando"" }",30,4555.763903,0.6666666666666666,0.5
extracao,"Estava tudo ok, porém agora o celular não está ligando.",chain_of_thought,"{""produto"": ""celular"", ""periodo"": ""POSTERIOR"", ""problema"": ""não está ligando""}",26,4109.896718,0.6666666666666666,0.5
extracao,"Estava tudo ok, porém agora o celular não está ligando.",role_prompting,"{
  ""produto"": ""Celular"",
  ""periodo"": ""POSTERIOR"",
  ""problema"": ""celular não está ligando""
}",33,6632.448847,0.6666666666666666,0.5
sumarizacao_descricao,"O Smartphone Motorola Moto g86 5G é a combinação perfeita de desempenho, inovação e estilo. Com uma impressionante capacidade de 256 GB de armazenamento interno e 24 GB de RAM (8 GB RAM + 16 GB Ram Boost), você terá espaço e velocidade suficientes para todas as suas necessidades, desde jogos até a captura de vídeos em 4K. Sua tela 1.5K pOLED de 6,7 polegadas com taxa de atualização de 120 Hz garante uma experiência visual imersiva e suave, ideal para gamers e para quem consome conteúdo multimídia. A versatilidade da câmera principal de 50 MP, projetada com tecnologia Sony e OIS, permite que você capture imagens nítidas e vibrantes, enquanto a câmera frontal de 32 MP é perfeita para selfies impressionantes.",zero_shot,"O Motorola Moto g86 5G oferece 256 GB de armazenamento e 8 GB RAM, com um sistema de memória adicional de 16 GB para garantir espaço e velocidade, além de uma tela 1.5K pOLED de 6,7 polegadas com 120 Hz. A câmera principal de 50 MP com OIS e a frontal de 32 MP são projetadas para imagens nítidas e selfies, enquanto o desempenho total da combinação de desempenho, inovação e estilo oferece uma experiência imersiva.",106,9851.10967,0.3333333333333333,0.5
sumarizacao_descricao,"O Smartphone Motorola Moto g86 5G é a combinação perfeita de desempenho, inovação e estilo. Com uma impressionante capacidade de 256 GB de armazenamento interno e 24 GB de RAM (8 GB RAM + 16 GB Ram Boost), você terá espaço e velocidade suficientes para todas as suas necessidades, desde jogos até a captura de vídeos em 4K. Sua tela 1.5K pOLED de 6,7 polegadas com taxa de atualização de 120 Hz garante uma experiência visual imersiva e suave, ideal para gamers e para quem consome conteúdo multimídia. A versatilidade da câmera principal de 50 MP, projetada com tecnologia Sony e OIS, permite que você capture imagens nítidas e vibrantes, enquanto a câmera frontal de 32 MP é perfeita para selfies impressionantes.",few_shot,"O Motorola Moto G86 5G possui 256GB de armazenamento e 24GB de RAM (8GB + 16GB Boost), oferecendo espaço e velocidade para jogos e vídeos, com tela 1.5K pOLED de 6,7 polegadas (120Hz) e câmera principal de 50MP Sony, além de 32MP frontal para selfies.",76,10500.059541,0.6666666666666666,0.5
sumarizacao_descricao,"O Smartphone Motorola Moto g86 5G é a combinação perfeita de desempenho, inovação e estilo. Com uma impressionante capacidade de 256 GB de armazenamento interno e 24 GB de RAM (8 GB RAM + 16 GB Ram Boost), você terá espaço e velocidade suficientes para todas as suas necessidades, desde jogos até a captura de vídeos em 4K. Sua tela 1.5K pOLED de 6,7 polegadas com taxa de atualização de 120 Hz garante uma experiência visual imersiva e suave, ideal para gamers e para quem consome conteúdo multimídia. A versatilidade da câmera principal de 50 MP, projetada com tecnologia Sony e OIS, permite que você capture imagens nítidas e vibrantes, enquanto a câmera frontal de 32 MP é perfeita para selfies impressionantes.",chain_of_thought,"O Motorola Moto g86 5G apresenta um smartphone de 6,7 polegadas com 256 GB de armazenamento e 8+16 GB de RAM, garantindo multitarefa e jogos pesados, além de uma tela 1.5K OLED de 120 Hz para visualização imersiva e vídeos em 4K.",68,10097.161698,0.5,0.5
sumarizacao_descricao,"O Smartphone Motorola Moto g86 5G é a combinação perfeita de desempenho, inovação e estilo. Com uma impressionante capacidade de 256 GB de armazenamento interno e 24 GB de RAM (8 GB RAM + 16 GB Ram Boost), você terá espaço e velocidade suficientes para todas as suas necessidades, desde jogos até a captura de vídeos em 4K. Sua tela 1.5K pOLED de 6,7 polegadas com taxa de atualização de 120 Hz garante uma experiência visual imersiva e suave, ideal para gamers e para quem consome conteúdo multimídia. A versatilidade da câmera principal de 50 MP, projetada com tecnologia Sony e OIS, permite que você capture imagens nítidas e vibrantes, enquanto a câmera frontal de 32 MP é perfeita para selfies impressionantes.",role_prompting,"O Motorola Moto G86 5G oferece 256 GB de armazenamento e 8+16 GB de RAM para jogos e vídeo, tela 1.5K OLED 6,7"" com 120Hz e câmera principal de 50 MP Sony com OIS, além de uma câmera frontal de 32 MP para selfies, garantindo um smartphone completo para gamers e multimídia.",78,9346.402705,0.3333333333333333,0.5
sumarizacao_descricao,"Experimente a excelência do entretenimento em casa com o Combo Samsung Smart TV 55 Crystal UHD 4K U8100F e Soundbar HW-B450F. A Smart TV de 55 polegadas oferece uma qualidade de imagem impressionante, com resolução 4K UHD, que traz cores vibrantes e detalhes nítidos para suas séries e filmes favoritos.",zero_shot,O Samsung Smart TV 55 Crystal UHD 4K U8100F com Soundbar HW-B450F oferece a melhor experiência de entretenimento em casa com resolução 4K e qualidade imersiva.,42,5100.752233,0.8333333333333334,0.5
sumarizacao_descricao,"Experimente a excelência do entretenimento em casa com o Combo Samsung Smart TV 55 Crystal UHD 4K U8100F e Soundbar HW-B450F. A Smart TV de 55 polegadas oferece uma qualidade de imagem impressionante, com resolução 4K UHD, que traz cores vibrantes e detalhes nítidos para suas séries e filmes favoritos.",few_shot,"O Samsung Smart TV 55 Crystal UHD 4K U8100F com Soundbar HW-B450F oferece 4K UHD de qualidade e resolução HD+ para imagens vibrantes e detalhes nítidos, além de um design moderno para atender a quem busca desempenho, inovação e estilo.",59,9286.554232,0.8333333333333334,0.5
sumarizacao_descricao,"Experimente a excelência do entretenimento em casa com o Combo Samsung Smart TV 55 Crystal UHD 4K U8100F e Soundbar HW-B450F. A Smart TV de 55 polegadas oferece uma qualidade de imagem impressionante, com resolução 4K UHD, que traz cores vibrantes e detalhes nítidos para suas séries e filmes favoritos.",chain_of_thought,"O Samsung Smart TV 55 Crystal UHD 4K U8100F e Soundbar HW-B450F oferece uma experiência de entretenimento completa, com a TV de 55 polegadas fornecendo qualidade de imagem de 4K e a Soundbar HW-B450F oferecendo áudio de 5.1, garantindo visual e auditivo imersivos.",72,8840.402131,1.0,0.5
sumarizacao_descricao,"Experimente a excelência do entretenimento em casa com o Combo Samsung Smart TV 55 Crystal UHD 4K U8100F e Soundbar HW-B450F. A Smart TV de 55 polegadas oferece uma qualidade de imagem impressionante, com resolução 4K UHD, que traz cores vibrantes e detalhes nítidos para suas séries e filmes favoritos.",role_prompting,"Combo Samsung Smart TV 55 Crystal UHD 4K U8100F com Soundbar HW-B450F oferece 55 polegadas de 4K UHD com cores vibrantes e detalhes nítidos, equipado com áudio de alta fidelidade para uma experiência de entretenimento completa em casa.",59,16014.311517,1.0,0.5
sumarizacao_descricao,"O Notebook Dell Inspiron i15-i1300-A30P é a escolha perfeita para quem busca desempenho e praticidade em um design elegante. Com um processador Intel Core i5 que atinge velocidades de até 4.6 GHz, oferece agilidade nas tarefas diárias, seja para estudos, trabalho ou entretenimento. Seu display Full HD de 15.6” com resolução de 1920 x 1080 proporciona uma experiência visual imersiva, ideal para assistir vídeos ou realizar videoconferências com clareza. Equipada com 8 GB de memória RAM DDR4 (expansível até 16GB – 2 slots soDIMM) e um SSD PCIe de 512 GB, a Notebook garante um desempenho rápido e eficiente, permitindo o armazenamento de documentos e aplicativos sem comprometer a performance. ",zero_shot,"O Notebook Dell Inspiron i15-i1300-A30P é um notebook elegante com processador Intel Core i5 até 4.6 GHz, display Full HD 15.6"" (1920 x 1080), 8 GB RAM DDR4 e SSD PCIe de 512 GB, ideal para estudos e trabalho diário.",69,8292.845357,0.7142857142857143,0.5
sumarizacao_descricao,"O Notebook Dell Inspiron i15-i1300-A30P é a escolha perfeita para quem busca desempenho e praticidade em um design elegante. Com um processador Intel Core i5 que atinge velocidades de até 4.6 GHz, oferece agilidade nas tarefas diárias, seja para estudos, trabalho ou entretenimento. Seu display Full HD de 15.6” com resolução de 1920 x 1080 proporciona uma experiência visual imersiva, ideal para assistir vídeos ou realizar videoconferências com clareza. Equipada com 8 GB de memória RAM DDR4 (expansível até 16GB – 2 slots soDIMM) e um SSD PCIe de 512 GB, a Notebook garante um desempenho rápido e eficiente, permitindo o armazenamento de documentos e aplicativos sem comprometer a performance. ",few_shot,"O Dell Inspiron i15-i1300-A30P é uma escolha perfeita para quem busca desempenho e praticidade em um design elegante, com processador Intel Core i5 de até 4.6 GHz, display Full HD 15.6"" (1920 x 1080), 8 GB de RAM DDR4 (expandível para 16GB), SSD PCIe 512 GB e design moderno.",84,11215.813996,0.5714285714285714,0.5
sumarizacao_descricao,"O Notebook Dell Inspiron i15-i1300-A30P é a escolha perfeita para quem busca desempenho e praticidade em um design elegante. Com um processador Intel Core i5 que atinge velocidades de até 4.6 GHz, oferece agilidade nas tarefas diárias, seja para estudos, trabalho ou entretenimento. Seu display Full HD de 15.6” com resolução de 1920 x 1080 proporciona uma experiência visual imersiva, ideal para assistir vídeos ou realizar videoconferências com clareza. Equipada com 8 GB de memória RAM DDR4 (expansível até 16GB – 2 slots soDIMM) e um SSD PCIe de 512 GB, a Notebook garante um desempenho rápido e eficiente, permitindo o armazenamento de documentos e aplicativos sem comprometer a performance. ",chain_of_thought,"O Dell Inspiron i15-i1300-A30P é a escolha perfeita para quem busca desempenho e praticidade em um design elegante, oferecendo um processador Intel Core i5 de até 4.6 GHz, um display Full HD de 15.6” com resolução 1920 x 1080, 8 GB de memória RAM DDR4 (expandível até 16GB) e um SSD PCIe de 512 GB para armazenamento rápido e eficiente.",95,9686.756694,0.5714285714285714,0.5
sumarizacao_descricao,"O Notebook Dell Inspiron i15-i1300-A30P é a escolha perfeita para quem busca desempenho e praticidade em um design elegante. Com um processador Intel Core i5 que atinge velocidades de até 4.6 GHz, oferece agilidade nas tarefas diárias, seja para estudos, trabalho ou entretenimento. Seu display Full HD de 15.6” com resolução de 1920 x 1080 proporciona uma experiência visual imersiva, ideal para assistir vídeos ou realizar videoconferências com clareza. Equipada com 8 GB de memória RAM DDR4 (expansível até 16GB – 2 slots soDIMM) e um SSD PCIe de 512 GB, a Notebook garante um desempenho rápido e eficiente, permitindo o armazenamento de documentos e aplicativos sem comprometer a performance. ",role_prompting,"O Dell Inspiron i15-i1300-A30P, com processador i5, display Full HD, 8GB RAM e SSD PCIe, é a escolha de alta performance para estudos, trabalho e entretenimento, oferecendo velocidade e clareza visual para vídeos e conferências.",58,12330.537647,0.14285714285714285,0.5
sumarizacao_descricao,"Com drivers de 40 mm, o headset JBL Quantum 100M2 entrega áudio preciso e potente, garantindo clareza desde os agudos nítidos até os graves mais intensos. Seja para músicas, jogos ou chamadas, sua resposta de frequência de 20 Hz a 20 kHz oferece uma experiência sonora envolvente e de alto nível. Cada detalhe é realçado para uma imersão completa no seu conteúdo favorito.",zero_shot,"O JBL Quantum 100M2 é um headset com 40 mm de drivers que entrega áudio preciso e potente, garantindo clareza desde agudos até graves, com resposta de frequência de 20 Hz a 20 kHz ideal para música, jogos e chamadas.",53,5706.686523,0.5,0.5
sumarizacao_descricao,"Com drivers de 40 mm, o headset JBL Quantum 100M2 entrega áudio preciso e potente, garantindo clareza desde os agudos nítidos até os graves mais intensos. Seja para músicas, jogos ou chamadas, sua resposta de frequência de 20 Hz a 20 kHz oferece uma experiência sonora envolvente e de alto nível. Cada detalhe é realçado para uma imersão completa no seu conteúdo favorito.",few_shot,"O JBL Quantum 100M2 possui drivers de 40 mm que garantem áudio preciso e potente, com resposta de frequência de 20 Hz a 20 kHz, ideal para músicas, jogos e chamadas.",43,6447.451251,0.5,0.5
sumarizacao_descricao,"Com drivers de 40 mm, o headset JBL Quantum 100M2 entrega áudio preciso e potente, garantindo clareza desde os agudos nítidos até os graves mais intensos. Seja para músicas, jogos ou chamadas, sua resposta de frequência de 20 Hz a 20 kHz oferece uma experiência sonora envolvente e de alto nível. Cada detalhe é realçado para uma imersão completa no seu conteúdo favorito.",chain_of_thought,"JBL Quantum 100M2 com drivers de 40 mm garante clareza de agudos e graves intensos, oferecendo áudio preciso e potente para música, jogos e chamadas.",36,4600.107678,0.25,0.5
sumarizacao_descricao,"Com drivers de 40 mm, o headset JBL Quantum 100M2 entrega áudio preciso e potente, garantindo clareza desde os agudos nítidos até os graves mais intensos. Seja para músicas, jogos ou chamadas, sua resposta de frequência de 20 Hz a 20 kHz oferece uma experiência sonora envolvente e de alto nível. Cada detalhe é realçado para uma imersão completa no seu conteúdo favorito.",role_prompting,"JBL Quantum 100M2: Headset com drivers 40mm para áudio preciso e potente, oferecendo clareza de agudos a graves intensos (20 Hz a 20 kHz) para música, jogos e chamadas.",47,5560.001708,0.5,0.5
sumarizacao_descricao,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho, ideal para usuários que buscam agilidade e eficiência em suas tarefas diárias. Com 512 GB de memória interna e 12 GB de RAM, você terá espaço de sobra para armazenar seus aplicativos, fotos e vídeos, proporcionando uma experiência fluida e sem interrupções. Equipado com o poderoso processador MediaTek Dimensity 8400 Ultra, com velocidade de até 3,25 GHz, este dispositivo é perfeito para gamers e profissionais que exigem performance superior. A conectividade 5G garante que você esteja sempre conectado com alta velocidade, permitindo downloads rápidos e streaming sem buffering.",zero_shot,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho com 512 GB de memória interna e 12 GB de RAM, equipado com o MediaTek Dimensity 8400 Ultra para performance superior, garantindo fluidez para gamers e profissionais.",52,5555.156559,0.8333333333333334,0.5
sumarizacao_descricao,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho, ideal para usuários que buscam agilidade e eficiência em suas tarefas diárias. Com 512 GB de memória interna e 12 GB de RAM, você terá espaço de sobra para armazenar seus aplicativos, fotos e vídeos, proporcionando uma experiência fluida e sem interrupções. Equipado com o poderoso processador MediaTek Dimensity 8400 Ultra, com velocidade de até 3,25 GHz, este dispositivo é perfeito para gamers e profissionais que exigem performance superior. A conectividade 5G garante que você esteja sempre conectado com alta velocidade, permitindo downloads rápidos e streaming sem buffering.",few_shot,"O Xiaomi Poco X7 Pro 5G oferece 512GB de armazenamento e 12GB de RAM, processador MediaTek Dimensity 8400 Ultra com até 3,25GHz, e 5G para alta velocidade, ideal para gamers e profissionais exigentes.",56,7513.437584,1.0,0.5
sumarizacao_descricao,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho, ideal para usuários que buscam agilidade e eficiência em suas tarefas diárias. Com 512 GB de memória interna e 12 GB de RAM, você terá espaço de sobra para armazenar seus aplicativos, fotos e vídeos, proporcionando uma experiência fluida e sem interrupções. Equipado com o poderoso processador MediaTek Dimensity 8400 Ultra, com velocidade de até 3,25 GHz, este dispositivo é perfeito para gamers e profissionais que exigem performance superior. A conectividade 5G garante que você esteja sempre conectado com alta velocidade, permitindo downloads rápidos e streaming sem buffering.",chain_of_thought,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho com 512 GB de memória e 12 GB de RAM, ideal para gamers e profissionais que buscam agilidade e eficiência em suas tarefas diárias.",46,5572.843547,0.6666666666666666,0.5
sumarizacao_descricao,"O Xiaomi Poco X7 Pro 5G é um smartphone de alto desempenho, ideal para usuários que buscam agilidade e eficiência em suas tarefas diárias. Com 512 GB de memória interna e 12 GB de RAM, você terá espaço de sobra para armazenar seus aplicativos, fotos e vídeos, proporcionando uma experiência fluida e sem interrupções. Equipado com o poderoso processador MediaTek Dimensity 8400 Ultra, com velocidade de até 3,25 GHz, este dispositivo é perfeito para gamers e profissionais que exigem performance superior. A conectividade 5G garante que você esteja sempre conectado com alta velocidade, permitindo downloads rápidos e streaming sem buffering.",role_prompting,"O Xiaomi Poco X7 Pro 5G é um smartphone de alta performance com 512 GB de armazenamento e 12 GB de RAM, ideal para gamers e profissionais exigentes. Equipado com o MediaTek Dimensity 8400 Ultra (3,25 GHz), ele garante velocidade de processamento e streaming de alta velocidade via 5G, oferecendo uma experiência fluida e sem interrupções para tarefas diárias e jogos.",85,8605.495636,1.0,0.5
